feature_id	SRR14935707	SRR14935708	SRR14935709	SRR14935710	SRR14935703	SRR14935704	SRR14935705	SRR14935706
SORBI_3001G025000	1399.842	1558.935	1237.994	1310.004	1081.938	977	1420.907	759.909
SORBI_3001G025101	9	5	165	27	391.912	9	38	199
SORBI_3001G025201	0	0	2	0	0	2	1	5
SORBI_3001G025300	64.969	111	472	228	1231.088	78	131.071	663
SORBI_3001G025400	290.085	316.932	194.316	259.019	177.575	198.735	345.163	162.002
SORBI_3001G025500	253	208	147	164	384.801	139	199	377
SORBI_3001G025600	515	519	394.908	448.56	328	437.927	693	178
SORBI_3001G025700	374.23	204	316	326	254	256	363.841	347
SORBI_3001G025800	84	84	45	63	59	52	99	39
SORBI_3001G025900	15	14	6	15.62	1	6	10	6
SORBI_3001G026000	791.646	834	435	741	418	737.059	575.633	287
SORBI_3001G026100	0	0	0	0	0	1	0	0
SORBI_3001G026200	536.129	619.003	476.201	543.999	453.274	409	497.161	261.115
SORBI_3001G026300	1	0	0	3	1	0	0	1
SORBI_3001G026400	107	107	83	101	75	59	133	74
SORBI_3001G026500	2155.879	1799.002	1561	1987.359	1570	1411.449	1751.026	1447
SORBI_3001G026600	163	211	117	64	76	118	260	44
SORBI_3001G026700	40	44	11	30	9	4	29	9
ENSRNA049445318	0	0	0	0	0	0	0	0
SORBI_3001G026800	476.764	595	289	354.952	209	338	408	150
SORBI_3001G026900	210	156	138	133	140	196	234	143
SORBI_3001G026950	0	0	0	0	0	0	0	1
SORBI_3001G027000	0	0	0	0	0	0	0	0
SORBI_3001G027100	161	140	109.228	127	93	126	194	81
SORBI_3001G027200	0	0	0	0	0	0	0	0
SORBI_3001G027300	16	13	17	15	7	9	13	11
SORBI_3001G027400	0	0	0	0	0	0	0	0
SORBI_3001G027500	3	9	0	7	5	4	9	1
SORBI_3001G027600	188	184	74	138	32	98	257	21
SORBI_3001G027700	6	8	11	4	6	0	13	5
SORBI_3001G027800	13	15	22	16	47	6	10	49
SORBI_3001G027900	6	11	8	9	4	4	1	1
