sample_id	species	status	mapping_flag	num_processed	num_mapped	percent_mapped	library_types	salmon_version	index_seq_hash	index_name_hash	expected_format	compatible_fragment_ratio	elapsed_seconds
SRR39669469	setaria_viridis	pass	pass	56716337	46135666	81.3445797813071	ISR	1.11.4	2e9d8f852d0493b4538da444ecbec23f0156f3723f3a4130a8b663eb7d269a93	5f887f7e5d46539ba197b1b59f1f8f7592ffb0347d89706e08becb7381cf95cf	ISR	1.0	605
SRR39669470	setaria_viridis	pass	pass	56485144	45697178	80.90123307466473	ISR	1.11.4	2e9d8f852d0493b4538da444ecbec23f0156f3723f3a4130a8b663eb7d269a93	5f887f7e5d46539ba197b1b59f1f8f7592ffb0347d89706e08becb7381cf95cf	ISR	1.0	404
SRR39669471	setaria_viridis	pass	pass	59957399	47581957	79.35960831122777	ISR	1.11.4	2e9d8f852d0493b4538da444ecbec23f0156f3723f3a4130a8b663eb7d269a93	5f887f7e5d46539ba197b1b59f1f8f7592ffb0347d89706e08becb7381cf95cf	ISR	1.0	423
SRR39669472	setaria_viridis	pass	pass	55221604	42125773	76.2849499989171	ISR	1.11.4	2e9d8f852d0493b4538da444ecbec23f0156f3723f3a4130a8b663eb7d269a93	5f887f7e5d46539ba197b1b59f1f8f7592ffb0347d89706e08becb7381cf95cf	ISR	1.0	392
SRR39669473	setaria_viridis	pass	pass	49086673	38901086	79.24979148617386	ISR	1.11.4	2e9d8f852d0493b4538da444ecbec23f0156f3723f3a4130a8b663eb7d269a93	5f887f7e5d46539ba197b1b59f1f8f7592ffb0347d89706e08becb7381cf95cf	ISR	1.0	512
SRR39669474	setaria_viridis	pass	pass	58532270	46524457	79.48514041912264	ISR	1.11.4	2e9d8f852d0493b4538da444ecbec23f0156f3723f3a4130a8b663eb7d269a93	5f887f7e5d46539ba197b1b59f1f8f7592ffb0347d89706e08becb7381cf95cf	ISR	1.0	607
SRR39669475	setaria_viridis	pass	pass	54262498	41352747	76.20870495125381	ISR	1.11.4	2e9d8f852d0493b4538da444ecbec23f0156f3723f3a4130a8b663eb7d269a93	5f887f7e5d46539ba197b1b59f1f8f7592ffb0347d89706e08becb7381cf95cf	ISR	1.0	385
SRR39669460	setaria_viridis	pass	pass	57156439	41790905	73.11670518871898	ISR	1.11.4	2e9d8f852d0493b4538da444ecbec23f0156f3723f3a4130a8b663eb7d269a93	5f887f7e5d46539ba197b1b59f1f8f7592ffb0347d89706e08becb7381cf95cf	ISR	1.0	410
SRR39669461	setaria_viridis	pass	pass	50735728	38667458	76.21346834719706	ISR	1.11.4	2e9d8f852d0493b4538da444ecbec23f0156f3723f3a4130a8b663eb7d269a93	5f887f7e5d46539ba197b1b59f1f8f7592ffb0347d89706e08becb7381cf95cf	ISR	1.0	514
SRR39669462	setaria_viridis	pass	pass	45278943	35809396	79.08620128345311	ISR	1.11.4	2e9d8f852d0493b4538da444ecbec23f0156f3723f3a4130a8b663eb7d269a93	5f887f7e5d46539ba197b1b59f1f8f7592ffb0347d89706e08becb7381cf95cf	ISR	1.0	332
SRR39669463	setaria_viridis	pass	pass	50111051	39417964	78.66121985747215	ISR	1.11.4	2e9d8f852d0493b4538da444ecbec23f0156f3723f3a4130a8b663eb7d269a93	5f887f7e5d46539ba197b1b59f1f8f7592ffb0347d89706e08becb7381cf95cf	ISR	1.0	531
SRR39669464	setaria_viridis	pass	pass	49987762	39586287	79.19195702340105	ISR	1.11.4	2e9d8f852d0493b4538da444ecbec23f0156f3723f3a4130a8b663eb7d269a93	5f887f7e5d46539ba197b1b59f1f8f7592ffb0347d89706e08becb7381cf95cf	ISR	1.0	364
SRR39669465	setaria_viridis	pass	pass	51833912	40705987	78.53157407837557	ISR	1.11.4	2e9d8f852d0493b4538da444ecbec23f0156f3723f3a4130a8b663eb7d269a93	5f887f7e5d46539ba197b1b59f1f8f7592ffb0347d89706e08becb7381cf95cf	ISR	1.0	374
SRR39669466	setaria_viridis	pass	warning	52616216	35993109	68.40687479312462	ISR	1.11.4	2e9d8f852d0493b4538da444ecbec23f0156f3723f3a4130a8b663eb7d269a93	5f887f7e5d46539ba197b1b59f1f8f7592ffb0347d89706e08becb7381cf95cf	ISR	1.0	526
SRR39669467	setaria_viridis	pass	warning	47976392	30629460	63.84277500483988	ISR	1.11.4	2e9d8f852d0493b4538da444ecbec23f0156f3723f3a4130a8b663eb7d269a93	5f887f7e5d46539ba197b1b59f1f8f7592ffb0347d89706e08becb7381cf95cf	ISR	1.0	345
