feature_id	SRR33083344	SRR33083345	SRR33083338	SRR33083351	SRR33083339	SRR33083340	SRR33083352	SRR33083346	SRR33083347	SRR33083355	SRR33083354	SRR33083353	SRR17385284	SRR17385295	SRR17385296	SRR17385300	SRR17385302	SRR17385301
TraesCS4A02G080400	2307.999	1604.749	1850.059	1794.412	1716.61	1844.158	1668.345	1479.934	1643.048	1464.821	1399.459	1289.984	1369.497	1246.825	1193.331	1240.603	1562.959	1419.475
TraesCS4A02G080500	268.837	297.28	222.998	299.717	213.902	269.989	264.373	227.293	225.532	200.235	277.713	190.858	272.123	325.177	346.769	402.995	347.828	379.998
TraesCS4A02G080600	2475.07	1581.681	1903	2095.381	2073	2191.747	3169.639	2870.683	3008.454	3032.619	3190.347	2893	2350.809	1917.671	2525.852	1909.424	2287.327	1878.166
TraesCS4A02G080700	12	20.997	8	22	20	13	36.507	14.998	16	10.667	20.009	11	22.776	29.25	40.463	32.992	13.974	21.003
TraesCS4A02G080800	197	167.764	117.584	142	144.336	148	137	138.357	139	82	82	115.001	274	318.418	394	323.97	334	293
TraesCS4A02G080900	381.123	380.824	309.142	314.019	324.038	330.562	330.449	287.169	256.173	355.056	397.575	344.082	414.403	492.464	690.827	622.296	493.757	516.78
TraesCS4A02G081000	985.824	781.473	885.313	841.787	1103.463	1062.246	2542.909	1840.504	2000.611	1754.642	2076.141	1916.233	743.477	1109.178	1700.878	1067.766	714.925	641.178
TraesCS4A02G081100	4433.371	3712.269	3742.972	4328.597	3929.075	4305.6	3714.045	3475.007	3917.736	4218.235	3627.906	3616.747	4061.15	3515.687	3765.087	3827.252	4276.142	4159.783
TraesCS4A02G081200	0	1	0	0	0	2	1	0	0	0	0	1	0	0	0	0	0	0
TraesCS4A02G081300	73	86.568	90	54	62.002	63	81	59	78	60	76.471	65	36	30	41	29	29	31
TraesCS4A02G081400	91.808	122.398	83.421	100.243	90.287	114.557	135.545	100.307	101.317	93.177	131.316	104.756	72.751	121.521	110.779	128.559	106.232	115.29
TraesCS4A02G081500	0	0	0	0	0	0	0	0	0	0	1.005	3	3.395	0	1.064	0	1	0
TraesCS4A02G081600	396	236	326	311	303.024	331	181	159	176	140	127	125	55	63	82	41	67	34
TraesCS4A02G081700	475.03	367.04	337.752	437.348	340.604	454.979	450.19	325.452	439.253	438.033	357.428	393.873	316.238	329.016	231.06	437.922	443.803	430.071
TraesCS4A02G081900	2	0	4	0	3	1	0	0	0	1	1	0	0	0	3	2	2	4
TraesCS4A02G082000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TraesCS4A02G082100	136.813	103.702	140.245	176.696	145.408	152.439	251.727	161.492	200.725	211.84	217.018	216.626	122.037	125.586	118.758	154.778	152.52	167.685
TraesCS4A02G082200	13	21	16.37	37	26	14	32.998	53	58	48	49.999	53	4	1	0	3	6	5
TraesCS4A02G082300	367.723	269.937	260.039	236.286	215.653	264.822	257.845	232.68	260.66	249.947	238.134	207.729	255.468	223.194	219.189	258.451	305.67	316.764
TraesCS4A02G082400	270	279.998	251	315.004	227.006	195.998	292	272	281.998	299.003	285	275	219	242.998	213	267	231	253
TraesCS4A02G082500	0	3	1	1	0	0	0	1	0	2	1	13	1	0	3	0	3	0
TraesCS4A02G082600	22.001	25.52	26.97	15	18.525	32.015	29.998	40	43	38.003	29.995	34.544	30.444	34.21	39.005	14.991	47.002	49.002
TraesCS4A02G082700	177.071	164.579	135.744	197.044	207.061	189.275	298.722	266.969	257.952	296.463	251.685	297.278	160.156	213.1	196.005	213.835	227.737	307.809
TraesCS4A02G082800	29.253	16.865	12.111	7.023	17.843	10.919	20.865	10.671	19.221	23.699	19.644	8.952	18.213	45.344	23.245	70.198	32.991	36.136
