feature_id	SRR33083344	SRR33083345	SRR33083338	SRR33083351	SRR33083339	SRR33083340	SRR33083352	SRR33083346	SRR33083347	SRR33083355	SRR33083354	SRR33083353	SRR17385284	SRR17385295	SRR17385296	SRR17385300	SRR17385302	SRR17385301
TraesCS4A02G202600	0	0.043923	0.04412	0	0.01591	0.085641	0.066555	0.363793	0.434422	0.211817	0.207456	0.306586	0	0.013844	0	0	0	0
TraesCS4A02G202700	4.916493	5.455365	4.689158	4.861696	4.345259	4.480845	6.408431	7.175306	7.075442	8.909392	7.769262	9.834907	3.404318	3.765421	2.545584	3.833476	4.397398	5.585446
TraesCS4A02G202900	0.671437	0.983597	0.585284	1.538187	1.661416	0.890309	1.378803	2.027038	0.990282	2.1867	1.853691	1.879777	1.347304	1.385428	1.030866	1.562803	1.087763	1.474408
TraesCS4A02G203000	6.359712	4.400617	5.730616	4.046863	2.988934	3.125928	0.880325	0.987313	1.896481	0.736217	1.107918	0.753955	3.144775	4.846894	4.073578	5.511878	4.927853	4.876941
TraesCS4A02G203200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TraesCS4A02G203300	5.120906	5.755668	5.101651	6.307991	5.677553	6.834595	5.95128	5.741746	7.324347	6.465751	6.709533	7.547215	6.940882	5.106732	4.876582	4.843521	6.7931	6.665316
TraesCS4A02G203400	259.692503	214.454554	236.585484	358.166399	363.962184	371.605758	90.986494	90.247908	95.248141	99.142517	106.268106	93.578396	286.132353	247.162564	298.245657	225.850611	263.857955	225.959284
ENSRNA050008228	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TraesCS4A02G203500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TraesCS4A02G203600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TraesCS4A02G203700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
