feature_id	SRR26553585	SRR26553586	SRR26553587	SRR26553588	SRR26553594	SRR26553593	SRR2545903	SRR2545902	SRR2545899	SRR2545898	SRR2545901	SRR2545900	SRR2545897	SRR2545896
GLYMA_09G174200	176	436.381	448.985	457.305	162.001	202.103	77	80	23	23	64	81	31	41
GLYMA_09G174300	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GLYMA_09G174400	83.014	118	83.58	40	78	84	88	83.996	103	90.001	114.374	143.999	123	125.001
GLYMA_09G174500	113	84.202	60	41.078	77.003	118	32	29	52	57	52	35	69	52
GLYMA_09G174600	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GLYMA_09G174700	5	24.009	33	14	11	7	16	13	41	48	16	14	39	30
GLYMA_09G174800	81.698	86.906	52.45	36.742	61.985	86.575	0	5.542	2.314	2.445	4.413	0.722	6.174	3.462
GLYMA_09G174900	42.001	52	39	21.001	50	50	35.84	29.884	40.567	68.257	35.907	28.928	48	73.671
GLYMA_09G175000	0	0	0	0	0	0	6.997	7.992	9.985	9.992	3.128	8.993	6.993	15.008
GLYMA_09G175100	116.263	92.901	81.54	58.982	93.975	90.885	35.206	42.146	67.335	66.279	47.555	29.393	63.052	79.782
GLYMA_09G175200	85.632	100.324	84.128	62.976	77.765	93.755	23.261	42.064	39.359	50.854	44.411	44.502	67.592	49.566
GLYMA_09G175300	17.771	31	22	13	16	30.322	10	9	10	6	14	15	13	13
GLYMA_09G175400	23.229	28.216	14	15.383	9.182	13.678	8	6	14.999	3.338	8.003	5	13	8
GLYMA_09G175500	2	4.784	5	5.623	8	8	0	5	10	15	5	8	7	17
GLYMA_09G175600	0	1.12	0	0	0	0	0	0	0	0	0	0	0	0
GLYMA_09G175700	0	0	0	0	3.226	0	1.357	2.264	0	0	0	0	0.949	1.094
GLYMA_09G175800	258.059	318.695	308.704	198.034	190.981	222.742	96.103	97.078	166.258	219.949	110.844	96.894	198.827	206.863
GLYMA_09G175900	0	0	0	0	2	0	2.009	0	0	0	2	1.001	0	1.233
GLYMA_09G176000	21	26.594	33.184	25.103	25.944	47	11.771	14.831	15.514	29.957	16.211	20.793	32.106	25.19
GLYMA_09G176100	22	23	50	31	22	39	985.16	1143.147	1241.433	1630.74	1190.118	930.072	1173	1436.322
GLYMA_09G176200	148	692.305	856.88	377.22	174.443	147.09	173	312	256	388	214.995	230.998	310.115	319.607
GLYMA_09G176300	65.941	104	326.609	66.107	43	44.951	323.572	430.856	409.012	422.873	598.007	527.317	467.33	475.58
GLYMA_09G176400	67.661	46.422	58.077	54.889	54.888	50.697	6.459	13.056	18.579	16.893	21.647	6.717	19.017	10.293
GLYMA_09G176500	14.341	6.147	6.173	7.124	5.001	6.864	0	0	0	0	0	0	0	0
GLYMA_09G176600	69.72	102.369	50.003	55.299	78.77	78.687	24.993	33.109	37.48	41.615	28.673	36.906	48.921	57.057
GLYMA_09G176700	58	68	49	24	59	48	0	1	0	0	0	0	1	0
GLYMA_09G176800	21	29	14	18.001	11	18	6	9.998	15.034	10.001	12	7	22.997	16.997
GLYMA_09G176900	352.62	291.734	151.827	294.058	343.514	468.804	439.001	511.897	618.88	664.987	443	467	658	697
GLYMA_09G177000	544	611.152	552.328	263.278	620.95	738.39	252	247.011	207.289	217.563	337.582	377.897	277.006	251
GLYMA_09G177100	141.631	114.056	118.988	83.084	157	143.008	17.064	24	32	25	19.072	15	31.126	14
GLYMA_09G177200	178.999	125	138.552	108	131.092	209.092	129	128.001	193	211.346	157.243	128	195	208.02
GLYMA_09G177300	2	2	3	0	0	0	11.001	12.001	12	8	16	9	13.211	15
GLYMA_09G177400	0	0	0	0	0	0	1	1	0	0	0	0	0	0
GLYMA_09G177500	455.002	457.59	460.684	371.888	421.981	436.805	379.94	414.859	549.908	805.968	496.724	518.919	610.621	682.82
GLYMA_09G177600	241.006	486.169	376.392	279.146	257.002	267.207	413.075	559.19	600.775	736.616	635.745	554.227	615.841	669.797
GLYMA_09G177700	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GLYMA_09G177800	2	4	1	0	0	0	4	3	8	1.003	8	7	2	5
GLYMA_09G177900	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNA050030685	7	30	3	5	18	8	2	5	21	20	5	2	23	21
GLYMA_09G178000	631.93	532.575	312.492	303.207	461.317	547	262	318.51	266.988	290	361.644	328.002	348	301.21
GLYMA_09G178100	164	81.002	164	221.138	148.741	150	1019.67	777.783	842.021	1017.947	1402.029	1404.827	811.01	1049.004
GLYMA_09G178200	33	15	34	11	15	25	24	30.491	54	59.58	31.062	52.561	63.308	74.998
GLYMA_09G178300	39	23	12	12	26	31.002	6.992	7.226	20.097	14.203	9.283	16.985	21.065	20.063
GLYMA_09G178400	9	21	11	8.993	17.818	13	18	18	11.034	21.662	19.997	16	31	27
