feature_id	SRR26553585	SRR26553586	SRR26553587	SRR26553588	SRR26553594	SRR26553593	SRR2545903	SRR2545902	SRR2545899	SRR2545898	SRR2545901	SRR2545900	SRR2545897	SRR2545896
GLYMA_02G280600	4.700405	4.183473	0.355235	2.594372	3.099146	3.67983	2.653444	4.132701	4.212395	4.495532	2.981537	3.778075	6.243344	4.926894
GLYMA_02G280700	23.951237	18.722061	22.013745	26.010916	27.690619	28.299832	61.315865	56.795739	56.782187	48.980142	51.868825	55.976013	53.481842	55.058204
GLYMA_02G280800	25.141924	41.708182	35.781463	28.776175	32.962	33.9922	67.976556	78.066108	33.385423	28.792981	62.654777	70.948387	35.591418	36.505522
GLYMA_02G280900	6.749364	3.159917	9.539334	5.801528	3.347158	3.069217	0	0	0	0	0	0	0	0
GLYMA_02G281000	12.166998	12.341831	12.004707	8.715767	12.301218	13.222551	14.289874	16.429184	15.824283	15.741517	18.877287	17.168275	16.730652	14.830705
GLYMA_02G281100	0.657	1.899592	3.90122	1.343797	0.86191	0.90756	6.734158	6.835863	9.669977	7.800554	6.679146	7.566153	11.857446	8.428548
GLYMA_02G281200	12.275228	10.242925	10.274998	6.731716	12.831737	13.520498	13.077177	12.968739	12.158904	10.668794	14.637343	14.12156	14.788294	12.041857
GLYMA_02G281300	7.875817	6.360695	7.135042	7.703569	7.659044	8.145201	15.740769	13.134922	21.030862	21.949324	14.483293	15.013317	21.679888	19.458491
GLYMA_02G281400	0.921415	0	0	0	0	0.212988	0	0	0	0	0	0	0	0.143825
GLYMA_02G281500	0	0	0	0	0	0	0	0	0.161516	0.439644	0	0.143024	0	0.29342
GLYMA_02G281600	0.202391	0.589537	2.886696	0.192931	0.562099	0.210305	0	0	0.092696	0	0	0	0	0
GLYMA_02G281700	7.620515	6.677706	12.23831	6.317929	8.06563	9.074631	9.007027	10.834973	10.82926	11.503819	11.84451	11.771482	12.723756	11.747965
GLYMA_02G281800	1.396918	1.143673	1.002715	0.82393	1.615899	1.254478	1.125578	1.622007	1.345209	1.348424	1.104387	0.940758	1.473441	1.567208
GLYMA_02G281900	4.093385	6.177335	6.11176	2.80633	4.214322	4.177379	4.193544	4.854872	4.820978	4.242167	4.567145	5.642313	7.03782	5.130932
GLYMA_02G282000	27.331334	15.089086	18.516729	12.628906	29.020992	36.903017	23.709466	28.706271	26.885447	24.425211	26.320507	28.469058	31.719865	28.23148
GLYMA_02G282100	25.939063	2.435198	3.501331	4.193176	18.599149	18.610734	0.864963	0.713379	0.575366	0.675833	1.486622	1.802311	0.848487	1.515925
GLYMA_02G282200	11.864146	10.75821	12.219811	3.40561	11.553014	11.393551	4.906256	4.255817	11.003681	6.61839	6.669246	4.875976	10.876026	8.156073
GLYMA_02G282300	4.499576	1092.035249	21.481166	1301.505179	0	0	2.524907	0	0	2.347355	0	2.279434	0	0
GLYMA_02G282400	5.121017	12.971523	19.844874	19.55551	6.42953	3.572873	18.320909	24.135325	24.404923	23.660121	22.811241	24.817586	21.254496	28.302518
GLYMA_02G282500	870.608266	936.495186	853.823279	1150.073749	788.285199	600.671405	25.251525	17.967262	23.881029	32.759429	32.323122	24.602902	25.159704	41.316434
GLYMA_02G282600	8.895941	10.581222	12.807043	10.957484	8.742606	12.177382	14.214844	15.701015	14.082799	15.710009	15.999951	17.126921	18.172412	15.803692
GLYMA_02G282700	7.309107	5.217514	4.574523	3.074317	6.409788	7.533501	2.475626	2.521295	2.927062	2.522602	2.867372	2.62303	3.703805	3.021708
GLYMA_02G282800	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GLYMA_02G282900	0.959575	1.591867	2.708459	0.157971	0.351091	1.666734	0	0	0	0.121138	0	0	0	0
GLYMA_02G283000	23.767034	16.400042	8.856339	8.626992	21.369463	23.337798	13.835394	14.206109	11.105142	10.272138	17.789756	15.340782	11.579724	9.643945
GLYMA_02G283100	10.750379	4.877973	6.207101	2.320832	9.853664	10.436531	0	0	0	0	0	0	0	0
GLYMA_02G283200	1.902313	0.341455	0.907055	0.50912	1.986794	1.997029	0.987773	0.985229	1.440006	1.270597	1.205946	0.721978	0.726091	1.169116
GLYMA_02G283300	16.967325	13.078866	9.295128	18.617943	17.866614	18.295394	31.728789	30.660411	28.56102	32.084418	26.957432	27.856857	31.324125	32.871504
GLYMA_02G283400	95.723777	152.886071	154.013587	161.87044	78.789118	67.793611	0.10459	0.354226	0.111909	0.660126	0.089589	0.246871	0.107492	0.779621
GLYMA_02G283500	0.463214	2.347878	0.802568	0.826232	0.713969	0.691737	1.171146	0.189977	0	0.031744	1.060217	0.365231	0.032627	0
GLYMA_02G283600	0.631583	2.048195	3.355841	1.003892	1.243407	0.565279	3.27467	3.161035	2.756518	2.93027	2.702767	2.255485	3.860849	3.995854
GLYMA_02G283700	0.594995	0.391196	0.65146	0.42467	0.406633	0.78373	1.468167	1.984923	2.55656	1.970317	1.574727	2.697522	1.719799	2.732887
GLYMA_02G283800	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GLYMA_02G283900	1.016721	0.695192	1.071614	1.749923	0.507703	1.799345	3.077446	2.398888	3.194428	1.598151	3.02464	4.83913	3.955851	3.823277
GLYMA_02G284000	0	0	0	0	0	0	0	0	0	0	0	0	0	0.41258
GLYMA_02G284100	0	0	0	0	0	0	22.973177	22.058463	5.116043	4.783586	23.878055	21.968543	5.196278	4.694268
GLYMA_02G284200	0.389947	0.593239	0.76826	1.515118	0.506622	0.349872	0.202553	0.136547	0.117442	0.132119	0.196131	0.195965	0.110825	0.166282
GLYMA_02G284300	1.238294	0.408443	0.958495	0.82043	0.731125	1.04854	15.606049	17.645568	8.4634	8.471449	14.431704	14.155734	10.116912	9.806818
GLYMA_02G284400	23.206101	13.75116	18.338239	13.015706	22.853063	26.936884	23.603788	24.544293	25.733611	25.992082	22.576418	25.933739	29.893529	26.811254
GLYMA_02G284500	10.043635	9.819391	16.598124	22.201622	11.029943	7.641928	6.08397	4.987513	3.434871	5.314329	5.512884	4.852485	4.97422	3.94202
GLYMA_02G284600	0.195226	0.065131	0.095195	0.11323	0.308326	0.392936	0	0	0	0	0.007783	0	0	0
GLYMA_02G284700	0.224164	0.083211	0.194038	0.187596	0.347195	0.487874	0.359034	0.541667	0.223456	0.053124	0.795989	0.742242	0.142351	0.087114
GLYMA_02G284800	0.098753	0.354619	0.885367	0.836564	0.612361	0.794432	71.784955	95.087539	6.403695	2.814529	95.148797	91.297662	5.577321	5.583275
GLYMA_02G284900	18.37297	20.567087	29.760212	21.815754	22.429917	20.310673	29.836574	38.792164	46.072552	38.59042	30.496602	42.036827	51.45412	41.326416
GLYMA_02G285000	0	0.540791	0.249137	0.385416	0	0.212988	1.085002	1.039523	1.151283	0.7634	0.529001	1.187952	0.635311	1.213394
GLYMA_02G285100	193.01951	209.046669	110.50325	113.988242	180.272019	209.234359	0.161681	1.200543	1.516999	0.790667	0.135387	0.150663	0.805397	1.711716
GLYMA_02G285200	6.652647	16.13344	13.880556	10.106681	9.812869	11.585847	3.633642	3.720433	3.694301	3.292058	2.939894	4.20149	4.791889	5.915863
GLYMA_02G285300	0.261499	0.338616	0.357956	0.277558	0.072732	0.278183	0.616044	0.41012	0.192103	0.300345	0.461518	0.351094	0.867545	1.143148
GLYMA_02G285400	0.353506	0.883254	1.383891	0.26098	0.683662	0.83285	0	0	0.073127	0.134433	0	0	0.070262	0
GLYMA_02G285500	0.529659	1.032482	1.787489	0.751421	0.607635	0.427046	0	0	0	0.095839	0.084445	0.044959	0.047738	0
GLYMA_02G285600	0	0	0	0	0	0.078235	0.120907	0.116211	0.19441	0.108865	0.126712	0.070028	0.233035	0.079599
GLYMA_02G285700	0.963544	0.270184	0.779827	0.324567	0.533645	1.426016	0	0	0	0	0	0.044067	0.046715	0.044999
GLYMA_02G285800	12.220209	13.025437	11.430266	8.14976	8.858529	15.153412	2.745251	2.68638	2.142899	2.614665	4.18025	3.166448	3.923583	3.200501
GLYMA_02G285900	0.276227	1.464397	1.595514	1.775791	0.308434	0.514852	3.506365	6.175609	7.158809	5.35378	3.642926	4.852907	7.25228	9.130797
GLYMA_02G286000	1.538428	2.763768	9.64976	4.537304	1.217224	1.301912	3.29204	3.621873	4.747524	4.36654	4.233904	4.244288	3.834324	4.753244
GLYMA_02G286100	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GLYMA_02G286200	0	0.361741	0.249137	1.541665	0.212792	0.212988	10.63306	5.724666	14.435304	12.060577	10.019036	8.744923	4.611759	8.592706
GLYMA_02G286300	1.527455	1.415975	2.18748	1.403389	1.075783	1.895204	2.011044	2.090695	2.862169	2.576266	1.879329	2.541275	3.190539	2.866599
GLYMA_02G286400	0	0.048663	0	0.095635	0	0	0.240066	0.344849	0.550462	0.317032	0.169115	0.270436	0.863429	0.394689
GLYMA_02G286500	0.23069	0.295119	0.547871	0.119046	0.517792	0	0.26822	0.20806	0.284471	0.413018	0.139904	0.203123	0.445257	0.593881
GLYMA_02G286600	0	0.348824	1.905358	0.652651	0.198738	0.04751	2.030092	4.826733	3.584464	2.366659	2.507428	4.508337	5.329529	3.55672
GLYMA_02G286700	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GLYMA_02G286800	14.973359	11.717419	14.95091	7.185895	15.338355	17.330522	13.973779	13.448723	9.172465	8.43971	13.824313	15.617799	11.139622	10.980662
GLYMA_02G286900	0.070283	0.562876	3.072828	0.706468	0	0.354704	4.520447	4.955975	7.270419	5.387616	5.092499	5.514324	4.758933	5.890885
GLYMA_02G287000	12.09365	11.798768	13.128167	6.66826	11.711507	11.580308	13.583802	13.924877	15.464902	12.186335	13.53729	12.433914	13.260323	12.932094
GLYMA_02G287100	0.341059	0	0.669968	0.065835	0.148435	0.072001	0.830253	0.439977	1.075101	0.693045	0.502946	0.988297	1.130619	0.978571
GLYMA_02G287200	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GLYMA_02G287300	0.213554	0	0	0	0.240236	0.304629	0.198657	0.319865	0.069919	0.19176	0.055881	0.566181	0.067842	0.262345
GLYMA_02G287400	5.215299	2.042888	35.31967	1.198959	1.497172	1.527397	0.029441	0	0.093018	0.028796	0	0.082873	0.235339	0.086641
GLYMA_02G287500	2.487323	3.618904	4.375799	2.328026	3.016976	2.593913	0.994503	1.305696	1.336906	2.166935	0.925502	1.478963	1.519934	2.633528
GLYMA_02G287600	5.968207	29.926514	26.140282	12.529051	5.170563	3.325268	0.802367	0.762408	0.377245	0.811578	1.207797	0.868377	1.48628	0.668176
GLYMA_02G287700	0	0	0.134203	0.300921	0	0	0.052835	0.150977	0	0.050716	0.091518	0	0.157362	0
GLYMA_02G287800	2.966753	0.583898	0	0	0.651815	0	3.509806	1.570158	2.72072	1.781852	1.941689	2.341907	1.604825	4.928502
GLYMA_02G287900	0	0	0	0	0	0	0	0	0	0	0	0.32219	0	0
GLYMA_02G288000	1.499827	1.322135	1.339393	0.851127	1.588557	1.376855	3.156883	3.707087	1.796581	1.966188	3.237699	3.434277	2.090261	1.777663
GLYMA_02G288100	2.346132	1.493797	0	0	8.855248	0.846667	0	0	0	0	0	0	0	0
GLYMA_02G288200	6.926832	2.701711	3.608822	1.13712	8.178749	9.595885	0.843838	0.276053	0.615159	0.340044	0.682976	0.232899	0.183346	0.352301
GLYMA_02G288300	1.776567	2.970107	3.229718	1.848423	2.083951	2.119219	0.927817	1.071288	1.00257	0.673873	1.201835	1.052913	1.386092	1.046554
GLYMA_02G288400	8.340657	7.560479	10.853324	9.401299	8.67373	10.67971	18.108989	15.178926	15.900347	16.672299	17.238437	17.059992	18.46171	17.524985
GLYMA_02G288500	24.631696	9.253716	6.199548	6.577204	19.651586	26.228312	5.396248	4.012572	5.01752	5.861856	5.949842	3.560296	5.41688	6.011986
GLYMA_02G288600	4.228456	10.460022	16.224711	21.369626	6.301132	4.401482	12.199619	12.319397	3.2635	4.357763	12.709802	13.460025	4.619404	3.959611
GLYMA_02G288700	16.322895	2.682854	3.383133	13.469024	15.493254	19.349453	2.807891	2.514731	1.200696	1.655143	4.109136	3.68806	1.676389	1.658594
GLYMA_02G288800	8.96514	7.306689	9.920686	6.04759	8.922008	9.987958	8.931652	9.244492	8.845997	8.238032	7.094926	8.426251	8.163397	8.060531
GLYMA_02G288900	2.499929	2.44137	4.189228	2.116364	2.555762	3.188822	4.826977	5.50714	6.79158	5.536655	5.037682	6.233706	6.764276	5.724536
